Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Sad,16.000000,14.035669,19.235384,16.552945,57.801384,53.600373,15.467957,32.849000ms,
Sad,16.000000,14.035669,20.223748,16.552945,58.309519,53.600373,15.416515,33.051000ms,
Sad,15.132746,14.035669,19.235384,15.231546,58.830264,53.758720,15.486653,33.230000ms,
Sad,17.000000,15.033296,18.439089,15.652476,56.603887,52.773099,17.469379,33.381000ms,
Sad,16.031220,16.031220,20.223748,16.155494,56.938563,51.971146,16.030857,33.557000ms,
Scared,15.033296,16.031220,19.235384,15.652476,56.938563,51.623638,22.000000,33.676000ms,
Scared,15.033296,16.031220,19.235384,16.155494,57.454330,51.478151,21.000000,33.857000ms,
Scared,16.031220,16.124515,18.248288,15.652476,56.938563,50.487622,21.000000,34.007000ms,
Doubt,17.029386,16.000000,19.235384,15.652476,54.708317,50.803543,22.038271,34.127000ms,
Doubt,17.029386,15.132746,19.235384,15.231546,54.378304,49.648766,24.000000,34.295000ms,
Scared,16.031220,16.124515,19.416488,15.652476,55.758407,50.635956,21.000000,34.434000ms,
Doubt,18.110770,16.031220,19.235384,17.492856,54.378304,49.497475,23.000000,34.602000ms,
Scared,16.124515,15.033296,18.439089,15.231546,57.454330,52.773099,23.000000,34.785000ms,
Scared,17.000000,14.035669,18.439089,16.552945,59.539903,54.589376,25.000000,34.917000ms,
Scared,18.110770,15.000000,18.439089,17.464249,59.169249,55.731499,22.520409,35.047000ms,
Scared,18.110770,16.031220,18.248288,15.652476,58.309519,54.589376,22.000000,35.153000ms,
Scared,18.110770,16.031220,18.439089,16.552945,58.309519,52.611786,21.000000,35.279000ms,
Scared,17.029386,16.124515,17.720045,17.000000,58.830264,53.600373,22.509722,35.389000ms,
Scared,18.110770,16.124515,18.439089,16.124515,57.454330,52.611786,21.509783,35.556000ms,
Scared,18.110770,16.031220,17.464249,16.124515,56.603887,51.623638,22.509722,35.656000ms,
Scared,18.000000,17.117243,18.439089,17.000000,57.140179,49.648766,22.515433,35.790000ms,
Doubt,18.110770,17.029386,18.681542,15.231546,57.982756,49.648766,22.000000,35.912000ms,
Scared,15.000000,13.038405,19.416488,17.000000,56.938563,52.345009,22.476390,36.072000ms,
Sad,10.198039,10.000000,21.587033,17.720045,61.911227,57.558666,13.477961,36.191000ms,
Sad,10.000000,9.055385,20.880613,16.552945,60.464866,53.235327,17.926541,36.329000ms,
Sad,10.000000,9.055385,20.615528,15.231546,59.640590,52.611786,18.385500,36.469000ms,
